Date,fiscal_year,fiscal_quarter,season,week_of_year,marketing_channel,spend,has_promo,promo_events
2021-01-31,2021,Q1,Spring/Summer,4,Direct Mail,23901.43,True,Winter Clearance
2021-01-31,2021,Q1,Spring/Summer,4,Catalog,20627.13,True,Winter Clearance
2021-01-31,2021,Q1,Spring/Summer,4,Outdoor Media,23649.74,True,Winter Clearance
2021-01-31,2021,Q1,Spring/Summer,4,Radio,29022.79,True,Winter Clearance
2021-01-31,2021,Q1,Spring/Summer,4,Influencer,25444.78,True,Winter Clearance
2021-02-07,2021,Q1,Spring/Summer,5,TV,57198.39,False,
2021-02-07,2021,Q1,Spring/Summer,5,Paid Search,53467.91,False,
2021-02-07,2021,Q1,Spring/Summer,5,Paid Social,11090.8,False,
2021-02-07,2021,Q1,Spring/Summer,5,Display,12384.78,False,
2021-02-07,2021,Q1,Spring/Summer,5,Email,11703.41,False,
2021-02-07,2021,Q1,Spring/Summer,5,Direct Mail,11761.52,False,
2021-02-07,2021,Q1,Spring/Summer,5,Catalog,10756.71,False,
2021-02-07,2021,Q1,Spring/Summer,5,Outdoor Media,10921.29,False,
2021-02-07,2021,Q1,Spring/Summer,5,Radio,13154.82,False,
2021-02-07,2021,Q1,Spring/Summer,5,Influencer,14359.5,False,
2021-02-14,2021,Q1,Spring/Summer,6,TV,46253.73,False,
2021-02-14,2021,Q1,Spring/Summer,6,Paid Search,47477.39,False,
2021-02-14,2021,Q1,Spring/Summer,6,Paid Social,11009.72,False,
2021-02-14,2021,Q1,Spring/Summer,6,Display,14523.12,False,
2021-02-14,2021,Q1,Spring/Summer,6,Email,14307.33,False,
2021-02-14,2021,Q1,Spring/Summer,6,Direct Mail,12755.29,False,
2021-02-14,2021,Q1,Spring/Summer,6,Catalog,11719.95,False,
2021-02-14,2021,Q1,Spring/Summer,6,Outdoor Media,11698.55,False,
2021-02-14,2021,Q1,Spring/Summer,6,Radio,11841.66,False,
2021-02-14,2021,Q1,Spring/Summer,6,Influencer,11853.65,False,
2021-02-21,2021,Q1,Spring/Summer,7,TV,47414.91,False,
2021-02-21,2021,Q1,Spring/Summer,7,Paid Search,45000.76,False,
2021-02-21,2021,Q1,Spring/Summer,7,Paid Social,14475.63,False,
2021-02-21,2021,Q1,Spring/Summer,7,Display,11574.28,False,
2021-02-21,2021,Q1,Spring/Summer,7,Email,12963.32,False,
2021-02-21,2021,Q1,Spring/Summer,7,Direct Mail,14579.9,False,
2021-02-21,2021,Q1,Spring/Summer,7,Catalog,12520.42,False,
2021-02-21,2021,Q1,Spring/Summer,7,Outdoor Media,11627.43,False,
2021-02-21,2021,Q1,Spring/Summer,7,Radio,14878.7,False,
2021-02-21,2021,Q1,Spring/Summer,7,Influencer,10825.04,False,
2021-02-28,2021,Q1,Spring/Summer,8,TV,59692.92,False,
2021-02-28,2021,Q1,Spring/Summer,8,Paid Search,43584.56,False,
2021-02-28,2021,Q1,Spring/Summer,8,Paid Social,10162.67,False,
2021-02-28,2021,Q1,Spring/Summer,8,Display,12617.44,False,
2021-02-28,2021,Q1,Spring/Summer,8,Email,11744.77,False,
2021-02-28,2021,Q1,Spring/Summer,8,Direct Mail,12456.71,False,
2021-02-28,2021,Q1,Spring/Summer,8,Catalog,13077.43,False,
2021-02-28,2021,Q1,Spring/Summer,8,Outdoor Media,11312.92,False,
2021-02-28,2021,Q1,Spring/Summer,8,Radio,10542.79,False,
2021-02-28,2021,Q1,Spring/Summer,8,Influencer,13898.7,False,
2021-03-07,2021,Q1,Spring/Summer,9,TV,47553.88,False,
2021-03-07,2021,Q1,Spring/Summer,9,Paid Search,59144.87,False,
2021-03-07,2021,Q1,Spring/Summer,9,Paid Social,14950.13,False,
2021-03-07,2021,Q1,Spring/Summer,9,Display,14834.05,False,
2021-03-07,2021,Q1,Spring/Summer,9,Email,12148.48,False,
2021-03-07,2021,Q1,Spring/Summer,9,Direct Mail,11085.94,False,
2021-03-07,2021,Q1,Spring/Summer,9,Catalog,10537.69,False,
2021-03-07,2021,Q1,Spring/Summer,9,Outdoor Media,11272.82,False,
2021-03-07,2021,Q1,Spring/Summer,9,Radio,12665.68,False,
2021-03-07,2021,Q1,Spring/Summer,9,Influencer,13295.46,False,
2021-03-14,2021,Q1,Spring/Summer,10,TV,44417.48,False,
2021-03-14,2021,Q1,Spring/Summer,10,Paid Search,43453.2,False,
2021-03-14,2021,Q1,Spring/Summer,10,Paid Social,13341.13,False,
2021-03-14,2021,Q1,Spring/Summer,10,Display,14130.62,False,
2021-03-14,2021,Q1,Spring/Summer,10,Email,14205.18,False,
2021-03-14,2021,Q1,Spring/Summer,10,Direct Mail,12951.81,False,
2021-03-14,2021,Q1,Spring/Summer,10,Catalog,14950.55,False,
2021-03-14,2021,Q1,Spring/Summer,10,Outdoor Media,11665.81,False,
2021-03-14,2021,Q1,Spring/Summer,10,Radio,12783.95,False,
2021-03-14,2021,Q1,Spring/Summer,10,Influencer,13449.39,False,
2021-03-21,2021,Q1,Spring/Summer,11,TV,53191.53,False,
2021-03-21,2021,Q1,Spring/Summer,11,Paid Search,44552.81,False,
2021-03-21,2021,Q1,Spring/Summer,11,Paid Social,10645.92,False,
2021-03-21,2021,Q1,Spring/Summer,11,Display,12585.5,False,
2021-03-21,2021,Q1,Spring/Summer,11,Email,11554.66,False,
2021-03-21,2021,Q1,Spring/Summer,11,Direct Mail,14880.7,False,
2021-03-21,2021,Q1,Spring/Summer,11,Catalog,14255.99,False,
2021-03-21,2021,Q1,Spring/Summer,11,Outdoor Media,12099.59,False,
2021-03-21,2021,Q1,Spring/Summer,11,Radio,12002.49,False,
2021-03-21,2021,Q1,Spring/Summer,11,Influencer,11896.09,False,
2021-03-28,2021,Q1,Spring/Summer,12,TV,50146.04,False,
2021-03-28,2021,Q1,Spring/Summer,12,Paid Search,52900.72,False,
2021-03-28,2021,Q1,Spring/Summer,12,Paid Social,12797.22,False,
2021-03-28,2021,Q1,Spring/Summer,12,Display,11811.69,False,
2021-03-28,2021,Q1,Spring/Summer,12,Email,10057.62,False,
2021-03-28,2021,Q1,Spring/Summer,12,Direct Mail,12976.83,False,
2021-03-28,2021,Q1,Spring/Summer,12,Catalog,12942.33,False,
2021-03-28,2021,Q1,Spring/Summer,12,Outdoor Media,14770.97,False,
2021-03-28,2021,Q1,Spring/Summer,12,Radio,10352.42,False,
2021-03-28,2021,Q1,Spring/Summer,12,Influencer,11976.28,False,
2021-04-04,2021,Q2,Spring/Summer,13,TV,59623.46,False,
2021-04-04,2021,Q2,Spring/Summer,13,Paid Search,43781.58,False,
2021-04-04,2021,Q2,Spring/Summer,13,Paid Social,10443.22,False,
2021-04-04,2021,Q2,Spring/Summer,13,Display,14433.44,False,
2021-04-04,2021,Q2,Spring/Summer,13,Email,13245.39,False,
2021-04-04,2021,Q2,Spring/Summer,13,Direct Mail,11790.09,False,
2021-04-04,2021,Q2,Spring/Summer,13,Catalog,14616.42,False,
2021-04-04,2021,Q2,Spring/Summer,13,Outdoor Media,10081.13,False,
2021-04-04,2021,Q2,Spring/Summer,13,Radio,11201.38,False,
2021-04-04,2021,Q2,Spring/Summer,13,Influencer,13079.42,False,
2021-04-11,2021,Q2,Spring/Summer,14,TV,52816.4,False,
2021-04-11,2021,Q2,Spring/Summer,14,Paid Search,58718.16,False,
2021-04-11,2021,Q2,Spring/Summer,14,Paid Social,10009.74,False,
2021-04-11,2021,Q2,Spring/Summer,14,Display,13929.84,False,
2021-04-11,2021,Q2,Spring/Summer,14,Email,13904.94,False,
2021-04-11,2021,Q2,Spring/Summer,14,Direct Mail,14828.35,False,
2021-04-11,2021,Q2,Spring/Summer,14,Catalog,14524.43,False,
2021-04-11,2021,Q2,Spring/Summer,14,Outdoor Media,11031.83,False,
2021-04-11,2021,Q2,Spring/Summer,14,Radio,14776.86,False,
2021-04-11,2021,Q2,Spring/Summer,14,Influencer,10431.54,False,
2021-04-18,2021,Q2,Spring/Summer,15,TV,58740.45,False,
2021-04-18,2021,Q2,Spring/Summer,15,Paid Search,54295.43,False,
2021-04-18,2021,Q2,Spring/Summer,15,Paid Social,14633.45,False,
2021-04-18,2021,Q2,Spring/Summer,15,Display,14119.36,False,
2021-04-18,2021,Q2,Spring/Summer,15,Email,13075.77,False,
2021-04-18,2021,Q2,Spring/Summer,15,Direct Mail,14003.31,False,
2021-04-18,2021,Q2,Spring/Summer,15,Catalog,11456.22,False,
2021-04-18,2021,Q2,Spring/Summer,15,Outdoor Media,10114.71,False,
2021-04-18,2021,Q2,Spring/Summer,15,Radio,14976.68,False,
2021-04-18,2021,Q2,Spring/Summer,15,Influencer,13208.26,False,
2021-04-25,2021,Q2,Spring/Summer,16,TV,49010.01,False,
2021-04-25,2021,Q2,Spring/Summer,16,Paid Search,51277.75,False,
2021-04-25,2021,Q2,Spring/Summer,16,Paid Social,11198.88,False,
2021-04-25,2021,Q2,Spring/Summer,16,Display,11616.13,False,
2021-04-25,2021,Q2,Spring/Summer,16,Email,12230.61,False,
2021-04-25,2021,Q2,Spring/Summer,16,Direct Mail,14597.45,False,
2021-04-25,2021,Q2,Spring/Summer,16,Catalog,13727.75,False,
2021-04-25,2021,Q2,Spring/Summer,16,Outdoor Media,14411.11,False,
2021-04-25,2021,Q2,Spring/Summer,16,Radio,10537.98,False,
2021-04-25,2021,Q2,Spring/Summer,16,Influencer,12575.94,False,
2021-05-02,2021,Q2,Spring/Summer,17,TV,42645.74,False,
2021-05-02,2021,Q2,Spring/Summer,17,Paid Search,43792.51,False,
2021-05-02,2021,Q2,Spring/Summer,17,Paid Social,12667.17,False,
2021-05-02,2021,Q2,Spring/Summer,17,Display,10639.06,False,
2021-05-02,2021,Q2,Spring/Summer,17,Email,13200.24,False,
2021-05-02,2021,Q2,Spring/Summer,17,Direct Mail,11539.72,False,
2021-05-02,2021,Q2,Spring/Summer,17,Catalog,11959.85,False,
2021-05-02,2021,Q2,Spring/Summer,17,Outdoor Media,11160.99,False,
2021-05-02,2021,Q2,Spring/Summer,17,Radio,13358.15,False,
2021-05-02,2021,Q2,Spring/Summer,17,Influencer,12002.78,False,
2021-05-09,2021,Q2,Spring/Summer,18,TV,54394.88,False,
2021-05-09,2021,Q2,Spring/Summer,18,Paid Search,46870.53,False,
2021-05-09,2021,Q2,Spring/Summer,18,Paid Social,13598.55,False,
2021-05-09,2021,Q2,Spring/Summer,18,Display,12574.87,False,
2021-05-09,2021,Q2,Spring/Summer,18,Email,12754.61,False,
2021-05-09,2021,Q2,Spring/Summer,18,Direct Mail,12088.1,False,
2021-05-09,2021,Q2,Spring/Summer,18,Catalog,14873.77,False,
2021-05-09,2021,Q2,Spring/Summer,18,Outdoor Media,13163.55,False,
2021-05-09,2021,Q2,Spring/Summer,18,Radio,10279.05,False,
2021-05-09,2021,Q2,Spring/Summer,18,Influencer,10366.08,False,
2021-05-16,2021,Q2,Spring/Summer,19,TV,96285.71,True,Anniversary Sale
2021-05-16,2021,Q2,Spring/Summer,19,Paid Search,110155.8,True,Anniversary Sale
2021-05-16,2021,Q2,Spring/Summer,19,Paid Social,25400.31,True,Anniversary Sale
2021-05-16,2021,Q2,Spring/Summer,19,Display,22846.62,True,Anniversary Sale
2021-05-16,2021,Q2,Spring/Summer,19,Email,21554.52,True,Anniversary Sale
2021-05-16,2021,Q2,Spring/Summer,19,Direct Mail,24369.65,True,Anniversary Sale
2021-05-16,2021,Q2,Spring/Summer,19,Catalog,25626.84,True,Anniversary Sale
2021-05-16,2021,Q2,Spring/Summer,19,Outdoor Media,26511.42,True,Anniversary Sale
2021-05-16,2021,Q2,Spring/Summer,19,Radio,20680.86,True,Anniversary Sale
2021-05-16,2021,Q2,Spring/Summer,19,Influencer,28643.42,True,Anniversary Sale
2021-05-23,2021,Q2,Spring/Summer,20,TV,107757.23,True,Anniversary Sale
2021-05-23,2021,Q2,Spring/Summer,20,Paid Search,83432.31,True,Anniversary Sale
2021-05-23,2021,Q2,Spring/Summer,20,Paid Social,29780.16,True,Anniversary Sale
2021-05-23,2021,Q2,Spring/Summer,20,Display,24688.41,True,Anniversary Sale
2021-05-23,2021,Q2,Spring/Summer,20,Email,23654.7,True,Anniversary Sale
2021-05-23,2021,Q2,Spring/Summer,20,Direct Mail,23084.29,True,Anniversary Sale
2021-05-23,2021,Q2,Spring/Summer,20,Catalog,27022.67,True,Anniversary Sale
2021-05-23,2021,Q2,Spring/Summer,20,Outdoor Media,22421.21,True,Anniversary Sale
2021-05-23,2021,Q2,Spring/Summer,20,Radio,23350.76,True,Anniversary Sale
2021-05-23,2021,Q2,Spring/Summer,20,Influencer,28990.68,True,Anniversary Sale
2021-05-30,2021,Q2,Spring/Summer,21,TV,100733.18,True,Memorial Day Sale
2021-05-30,2021,Q2,Spring/Summer,21,Paid Search,83561.35,True,Memorial Day Sale
2021-05-30,2021,Q2,Spring/Summer,21,Paid Social,29993.07,True,Memorial Day Sale
2021-05-30,2021,Q2,Spring/Summer,21,Display,20410.61,True,Memorial Day Sale
2021-05-30,2021,Q2,Spring/Summer,21,Email,22521.14,True,Memorial Day Sale
2021-05-30,2021,Q2,Spring/Summer,21,Direct Mail,26127.38,True,Memorial Day Sale
2021-05-30,2021,Q2,Spring/Summer,21,Catalog,29368.37,True,Memorial Day Sale
2021-05-30,2021,Q2,Spring/Summer,21,Outdoor Media,25255.61,True,Memorial Day Sale
2021-05-30,2021,Q2,Spring/Summer,21,Radio,22755.13,True,Memorial Day Sale
2021-05-30,2021,Q2,Spring/Summer,21,Influencer,20218.29,True,Memorial Day Sale
2021-06-06,2021,Q2,Spring/Summer,22,TV,49446.6,False,
2021-06-06,2021,Q2,Spring/Summer,22,Paid Search,51682.87,False,
2021-06-06,2021,Q2,Spring/Summer,22,Paid Social,14711.6,False,
2021-06-06,2021,Q2,Spring/Summer,22,Display,12877.73,False,
2021-06-06,2021,Q2,Spring/Summer,22,Email,12915.18,False,
2021-06-06,2021,Q2,Spring/Summer,22,Direct Mail,10422.67,False,
2021-06-06,2021,Q2,Spring/Summer,22,Catalog,13664.08,False,
2021-06-06,2021,Q2,Spring/Summer,22,Outdoor Media,14818.56,False,
2021-06-06,2021,Q2,Spring/Summer,22,Radio,11200.4,False,
2021-06-06,2021,Q2,Spring/Summer,22,Influencer,13217.21,False,
2021-06-13,2021,Q2,Spring/Summer,23,TV,58186.67,False,
2021-06-13,2021,Q2,Spring/Summer,23,Paid Search,52581.97,False,
2021-06-13,2021,Q2,Spring/Summer,23,Paid Social,11020.26,False,
2021-06-13,2021,Q2,Spring/Summer,23,Display,12728.86,False,
2021-06-13,2021,Q2,Spring/Summer,23,Email,13478.65,False,
2021-06-13,2021,Q2,Spring/Summer,23,Direct Mail,13817.92,False,
2021-06-13,2021,Q2,Spring/Summer,23,Catalog,10298.51,False,
2021-06-13,2021,Q2,Spring/Summer,23,Outdoor Media,14845.36,False,
2021-06-13,2021,Q2,Spring/Summer,23,Radio,12130.02,False,
2021-06-13,2021,Q2,Spring/Summer,23,Influencer,14617.24,False,
2021-06-20,2021,Q2,Spring/Summer,24,TV,44786.68,False,
2021-06-20,2021,Q2,Spring/Summer,24,Paid Search,50344.9,False,
2021-06-20,2021,Q2,Spring/Summer,24,Paid Social,11680.16,False,
2021-06-20,2021,Q2,Spring/Summer,24,Display,13185.59,False,
2021-06-20,2021,Q2,Spring/Summer,24,Email,11662.52,False,
2021-06-20,2021,Q2,Spring/Summer,24,Direct Mail,13680.19,False,
2021-06-20,2021,Q2,Spring/Summer,24,Catalog,13839.48,False,
2021-06-20,2021,Q2,Spring/Summer,24,Outdoor Media,11403.3,False,
2021-06-20,2021,Q2,Spring/Summer,24,Radio,13729.32,False,
2021-06-20,2021,Q2,Spring/Summer,24,Influencer,10839.54,False,
2021-06-27,2021,Q2,Spring/Summer,25,TV,54529.43,False,
2021-06-27,2021,Q2,Spring/Summer,25,Paid Search,50082.96,False,
2021-06-27,2021,Q2,Spring/Summer,25,Paid Social,14279.73,False,
2021-06-27,2021,Q2,Spring/Summer,25,Display,11139.82,False,
2021-06-27,2021,Q2,Spring/Summer,25,Email,11655.86,False,
2021-06-27,2021,Q2,Spring/Summer,25,Direct Mail,14147.04,False,
2021-06-27,2021,Q2,Spring/Summer,25,Catalog,14349.91,False,
2021-06-27,2021,Q2,Spring/Summer,25,Outdoor Media,14964.75,False,
2021-06-27,2021,Q2,Spring/Summer,25,Radio,10102.22,False,
2021-06-27,2021,Q2,Spring/Summer,25,Influencer,11246.73,False,
2021-07-04,2021,Q3,Fall/Winter,26,TV,85698.61,True,Independence Day Sale
2021-07-04,2021,Q3,Fall/Winter,26,Paid Search,108526.22,True,Independence Day Sale
2021-07-04,2021,Q3,Fall/Winter,26,Paid Social,22710.55,True,Independence Day Sale
2021-07-04,2021,Q3,Fall/Winter,26,Display,25928.16,True,Independence Day Sale
2021-07-04,2021,Q3,Fall/Winter,26,Email,29001.7,True,Independence Day Sale
2021-07-04,2021,Q3,Fall/Winter,26,Direct Mail,22009.11,True,Independence Day Sale
2021-07-04,2021,Q3,Fall/Winter,26,Catalog,26403.31,True,Independence Day Sale
2021-07-04,2021,Q3,Fall/Winter,26,Outdoor Media,26947.2,True,Independence Day Sale
2021-07-04,2021,Q3,Fall/Winter,26,Radio,21230.85,True,Independence Day Sale
2021-07-04,2021,Q3,Fall/Winter,26,Influencer,22628.86,True,Independence Day Sale
2021-07-11,2021,Q3,Fall/Winter,27,TV,59574.35,False,
2021-07-11,2021,Q3,Fall/Winter,27,Paid Search,52894.26,False,
2021-07-11,2021,Q3,Fall/Winter,27,Paid Social,12522.26,False,
2021-07-11,2021,Q3,Fall/Winter,27,Display,13450.56,False,
2021-07-11,2021,Q3,Fall/Winter,27,Email,12362.61,False,
2021-07-11,2021,Q3,Fall/Winter,27,Direct Mail,10225.82,False,
2021-07-11,2021,Q3,Fall/Winter,27,Catalog,13590.44,False,
2021-07-11,2021,Q3,Fall/Winter,27,Outdoor Media,14797.35,False,
2021-07-11,2021,Q3,Fall/Winter,27,Radio,14506.72,False,
2021-07-11,2021,Q3,Fall/Winter,27,Influencer,11081.0,False,
2021-07-18,2021,Q3,Fall/Winter,28,TV,51504.09,False,
2021-07-18,2021,Q3,Fall/Winter,28,Paid Search,56305.11,False,
2021-07-18,2021,Q3,Fall/Winter,28,Paid Social,10560.6,False,
2021-07-18,2021,Q3,Fall/Winter,28,Display,11785.76,False,
2021-07-18,2021,Q3,Fall/Winter,28,Email,11751.58,False,
2021-07-18,2021,Q3,Fall/Winter,28,Direct Mail,10845.37,False,
2021-07-18,2021,Q3,Fall/Winter,28,Catalog,14209.33,False,
2021-07-18,2021,Q3,Fall/Winter,28,Outdoor Media,12418.91,False,
2021-07-18,2021,Q3,Fall/Winter,28,Radio,13633.62,False,
2021-07-18,2021,Q3,Fall/Winter,28,Influencer,10886.49,False,
2021-07-25,2021,Q3,Fall/Winter,29,TV,54249.91,False,
2021-07-25,2021,Q3,Fall/Winter,29,Paid Search,59867.64,False,
2021-07-25,2021,Q3,Fall/Winter,29,Paid Social,12443.59,False,
2021-07-25,2021,Q3,Fall/Winter,29,Display,12867.7,False,
2021-07-25,2021,Q3,Fall/Winter,29,Email,13951.33,False,
2021-07-25,2021,Q3,Fall/Winter,29,Direct Mail,10283.35,False,
2021-07-25,2021,Q3,Fall/Winter,29,Catalog,10831.84,False,
2021-07-25,2021,Q3,Fall/Winter,29,Outdoor Media,14111.16,False,
2021-07-25,2021,Q3,Fall/Winter,29,Radio,13072.93,False,
2021-07-25,2021,Q3,Fall/Winter,29,Influencer,10314.48,False,
2021-08-01,2021,Q3,Fall/Winter,30,TV,56222.78,False,
2021-08-01,2021,Q3,Fall/Winter,30,Paid Search,41772.79,False,
2021-08-01,2021,Q3,Fall/Winter,30,Paid Social,13646.2,False,
2021-08-01,2021,Q3,Fall/Winter,30,Display,11218.06,False,
2021-08-01,2021,Q3,Fall/Winter,30,Email,11786.78,False,
2021-08-01,2021,Q3,Fall/Winter,30,Direct Mail,12301.02,False,
2021-08-01,2021,Q3,Fall/Winter,30,Catalog,11327.07,False,
2021-08-01,2021,Q3,Fall/Winter,30,Outdoor Media,13047.57,False,
2021-08-01,2021,Q3,Fall/Winter,30,Radio,14472.31,False,
2021-08-01,2021,Q3,Fall/Winter,30,Influencer,14822.45,False,
2021-08-08,2021,Q3,Fall/Winter,31,TV,48181.18,False,
2021-08-08,2021,Q3,Fall/Winter,31,Paid Search,46163.22,False,
2021-08-08,2021,Q3,Fall/Winter,31,Paid Social,12625.36,False,
2021-08-08,2021,Q3,Fall/Winter,31,Display,12419.6,False,
2021-08-08,2021,Q3,Fall/Winter,31,Email,13378.08,False,
2021-08-08,2021,Q3,Fall/Winter,31,Direct Mail,13250.43,False,
2021-08-08,2021,Q3,Fall/Winter,31,Catalog,12722.55,False,
2021-08-08,2021,Q3,Fall/Winter,31,Outdoor Media,11575.33,False,
2021-08-08,2021,Q3,Fall/Winter,31,Radio,12808.3,False,
2021-08-08,2021,Q3,Fall/Winter,31,Influencer,14882.12,False,
2021-08-15,2021,Q3,Fall/Winter,32,TV,54200.5,False,
2021-08-15,2021,Q3,Fall/Winter,32,Paid Search,56937.44,False,
2021-08-15,2021,Q3,Fall/Winter,32,Paid Social,10711.74,False,
2021-08-15,2021,Q3,Fall/Winter,32,Display,12523.65,False,
2021-08-15,2021,Q3,Fall/Winter,32,Email,12967.33,False,
2021-08-15,2021,Q3,Fall/Winter,32,Direct Mail,12062.62,False,
2021-08-15,2021,Q3,Fall/Winter,32,Catalog,11097.39,False,
2021-08-15,2021,Q3,Fall/Winter,32,Outdoor Media,13984.43,False,
2021-08-15,2021,Q3,Fall/Winter,32,Radio,13222.98,False,
2021-08-15,2021,Q3,Fall/Winter,32,Influencer,12159.15,False,
2021-08-22,2021,Q3,Fall/Winter,33,TV,47177.75,False,
2021-08-22,2021,Q3,Fall/Winter,33,Paid Search,56709.35,False,
2021-08-22,2021,Q3,Fall/Winter,33,Paid Social,14870.3,False,
2021-08-22,2021,Q3,Fall/Winter,33,Display,14845.52,False,
2021-08-22,2021,Q3,Fall/Winter,33,Email,13729.54,False,
2021-08-22,2021,Q3,Fall/Winter,33,Direct Mail,14602.44,False,
2021-08-22,2021,Q3,Fall/Winter,33,Catalog,10123.94,False,
2021-08-22,2021,Q3,Fall/Winter,33,Outdoor Media,12753.51,False,
2021-08-22,2021,Q3,Fall/Winter,33,Radio,10651.79,False,
2021-08-22,2021,Q3,Fall/Winter,33,Influencer,11478.34,False,
2021-08-29,2021,Q3,Fall/Winter,34,TV,46751.99,False,
2021-08-29,2021,Q3,Fall/Winter,34,Paid Search,52785.47,False,
2021-08-29,2021,Q3,Fall/Winter,34,Paid Social,14127.39,False,
2021-08-29,2021,Q3,Fall/Winter,34,Display,13032.34,False,
2021-08-29,2021,Q3,Fall/Winter,34,Email,14431.7,False,
2021-08-29,2021,Q3,Fall/Winter,34,Direct Mail,11311.09,False,
2021-08-29,2021,Q3,Fall/Winter,34,Catalog,14169.85,False,
2021-08-29,2021,Q3,Fall/Winter,34,Outdoor Media,14797.34,False,
2021-08-29,2021,Q3,Fall/Winter,34,Radio,10903.04,False,
2021-08-29,2021,Q3,Fall/Winter,34,Influencer,12407.31,False,
2021-09-05,2021,Q3,Fall/Winter,35,TV,107886.91,True,Labor Day Sale
2021-09-05,2021,Q3,Fall/Winter,35,Paid Search,114295.46,True,Labor Day Sale
2021-09-05,2021,Q3,Fall/Winter,35,Paid Social,23332.19,True,Labor Day Sale
2021-09-05,2021,Q3,Fall/Winter,35,Display,20588.98,True,Labor Day Sale
2021-09-05,2021,Q3,Fall/Winter,35,Email,23114.03,True,Labor Day Sale
2021-09-05,2021,Q3,Fall/Winter,35,Direct Mail,24902.94,True,Labor Day Sale
