Date,fiscal_year,fiscal_quarter,season,week_of_year,division,department,net_sales,units,transactions,avg_unit_retail,gross_margin_dollars,gross_margin_pct,markdown_dollars,markdown_pct,has_promo,promo_depth,promo_events
2021-01-31,2021,Q1,Spring/Summer,4,Apparel & Footwear,Womens Apparel,318750.0,5000,3500,63.75,102000.0,0.32,79687.5,0.25,True,0.25,Winter Clearance
2021-01-31,2021,Q1,Spring/Summer,4,Apparel & Footwear,Footwear,525000.0,5000,3500,105.0,147000.0,0.28,131250.0,0.25,True,0.25,Winter Clearance
2021-01-31,2021,Q1,Spring/Summer,4,Apparel & Footwear,Accessories,168750.0,5000,3500,33.75,59062.5,0.35,42187.5,0.25,True,0.25,Winter Clearance
2021-02-07,2021,Q1,Spring/Summer,5,Outdoor Equipment,Camping & Hiking,1350000.0,7500,5250,180.0,567000.0,0.42,0.0,0.0,False,0.0,
2021-02-07,2021,Q1,Spring/Summer,5,Outdoor Equipment,Cycling,700000.0,2000,1400,350.0,266000.0,0.38,0.0,0.0,False,0.0,
2021-02-07,2021,Q1,Spring/Summer,5,Outdoor Equipment,Climbing,240000.0,2000,1400,120.0,105600.0,0.44,0.0,0.0,False,0.0,
2021-02-07,2021,Q1,Spring/Summer,5,Outdoor Equipment,Water Sports,2250000.0,5000,3500,450.0,900000.0,0.4,0.0,0.0,False,0.0,
2021-02-07,2021,Q1,Spring/Summer,5,Outdoor Equipment,Snow Sports,160000.0,400,280,400.0,64000.0,0.4,0.0,0.0,False,0.0,
2021-02-07,2021,Q1,Spring/Summer,5,Apparel & Footwear,Mens Apparel,170000.0,2000,1400,85.0,85000.0,0.5,0.0,0.0,False,0.0,
2021-02-07,2021,Q1,Spring/Summer,5,Apparel & Footwear,Womens Apparel,170000.0,2000,1400,85.0,88400.0,0.52,0.0,0.0,False,0.0,
2021-02-07,2021,Q1,Spring/Summer,5,Apparel & Footwear,Footwear,280000.0,2000,1400,140.0,134400.0,0.48,0.0,0.0,False,0.0,
2021-02-07,2021,Q1,Spring/Summer,5,Apparel & Footwear,Accessories,90000.0,2000,1400,45.0,49500.0,0.55,0.0,0.0,False,0.0,
2021-02-14,2021,Q1,Spring/Summer,6,Outdoor Equipment,Camping & Hiking,1350000.0,7500,5250,180.0,567000.0,0.42,0.0,0.0,False,0.0,
2021-02-14,2021,Q1,Spring/Summer,6,Outdoor Equipment,Cycling,700000.0,2000,1400,350.0,266000.0,0.38,0.0,0.0,False,0.0,
2021-02-14,2021,Q1,Spring/Summer,6,Outdoor Equipment,Climbing,240000.0,2000,1400,120.0,105600.0,0.44,0.0,0.0,False,0.0,
2021-02-14,2021,Q1,Spring/Summer,6,Outdoor Equipment,Water Sports,2250000.0,5000,3500,450.0,900000.0,0.4,0.0,0.0,False,0.0,
2021-02-14,2021,Q1,Spring/Summer,6,Outdoor Equipment,Snow Sports,160000.0,400,280,400.0,64000.0,0.4,0.0,0.0,False,0.0,
2021-02-14,2021,Q1,Spring/Summer,6,Apparel & Footwear,Mens Apparel,170000.0,2000,1400,85.0,85000.0,0.5,0.0,0.0,False,0.0,
2021-02-14,2021,Q1,Spring/Summer,6,Apparel & Footwear,Womens Apparel,170000.0,2000,1400,85.0,88400.0,0.52,0.0,0.0,False,0.0,
2021-02-14,2021,Q1,Spring/Summer,6,Apparel & Footwear,Footwear,280000.0,2000,1400,140.0,134400.0,0.48,0.0,0.0,False,0.0,
2021-02-14,2021,Q1,Spring/Summer,6,Apparel & Footwear,Accessories,90000.0,2000,1400,45.0,49500.0,0.55,0.0,0.0,False,0.0,
2021-02-21,2021,Q1,Spring/Summer,7,Outdoor Equipment,Camping & Hiking,1350000.0,7500,5250,180.0,567000.0,0.42,0.0,0.0,False,0.0,
2021-02-21,2021,Q1,Spring/Summer,7,Outdoor Equipment,Cycling,700000.0,2000,1400,350.0,266000.0,0.38,0.0,0.0,False,0.0,
2021-02-21,2021,Q1,Spring/Summer,7,Outdoor Equipment,Climbing,240000.0,2000,1400,120.0,105600.0,0.44,0.0,0.0,False,0.0,
2021-02-21,2021,Q1,Spring/Summer,7,Outdoor Equipment,Water Sports,2250000.0,5000,3500,450.0,900000.0,0.4,0.0,0.0,False,0.0,
2021-02-21,2021,Q1,Spring/Summer,7,Outdoor Equipment,Snow Sports,160000.0,400,280,400.0,64000.0,0.4,0.0,0.0,False,0.0,
2021-02-21,2021,Q1,Spring/Summer,7,Apparel & Footwear,Mens Apparel,170000.0,2000,1400,85.0,85000.0,0.5,0.0,0.0,False,0.0,
2021-02-21,2021,Q1,Spring/Summer,7,Apparel & Footwear,Womens Apparel,170000.0,2000,1400,85.0,88400.0,0.52,0.0,0.0,False,0.0,
2021-02-21,2021,Q1,Spring/Summer,7,Apparel & Footwear,Footwear,280000.0,2000,1400,140.0,134400.0,0.48,0.0,0.0,False,0.0,
2021-02-21,2021,Q1,Spring/Summer,7,Apparel & Footwear,Accessories,90000.0,2000,1400,45.0,49500.0,0.55,0.0,0.0,False,0.0,
2021-02-28,2021,Q1,Spring/Summer,8,Outdoor Equipment,Camping & Hiking,1350000.0,7500,5250,180.0,567000.0,0.42,0.0,0.0,False,0.0,
2021-02-28,2021,Q1,Spring/Summer,8,Outdoor Equipment,Cycling,700000.0,2000,1400,350.0,266000.0,0.38,0.0,0.0,False,0.0,
2021-02-28,2021,Q1,Spring/Summer,8,Outdoor Equipment,Climbing,240000.0,2000,1400,120.0,105600.0,0.44,0.0,0.0,False,0.0,
2021-02-28,2021,Q1,Spring/Summer,8,Outdoor Equipment,Water Sports,2250000.0,5000,3500,450.0,900000.0,0.4,0.0,0.0,False,0.0,
2021-02-28,2021,Q1,Spring/Summer,8,Outdoor Equipment,Snow Sports,160000.0,400,280,400.0,64000.0,0.4,0.0,0.0,False,0.0,
2021-02-28,2021,Q1,Spring/Summer,8,Apparel & Footwear,Mens Apparel,170000.0,2000,1400,85.0,85000.0,0.5,0.0,0.0,False,0.0,
2021-02-28,2021,Q1,Spring/Summer,8,Apparel & Footwear,Womens Apparel,170000.0,2000,1400,85.0,88400.0,0.52,0.0,0.0,False,0.0,
2021-02-28,2021,Q1,Spring/Summer,8,Apparel & Footwear,Footwear,280000.0,2000,1400,140.0,134400.0,0.48,0.0,0.0,False,0.0,
2021-02-28,2021,Q1,Spring/Summer,8,Apparel & Footwear,Accessories,90000.0,2000,1400,45.0,49500.0,0.55,0.0,0.0,False,0.0,
2021-03-07,2021,Q1,Spring/Summer,9,Outdoor Equipment,Camping & Hiking,1350000.0,7500,5250,180.0,567000.0,0.42,0.0,0.0,False,0.0,
2021-03-07,2021,Q1,Spring/Summer,9,Outdoor Equipment,Cycling,700000.0,2000,1400,350.0,266000.0,0.38,0.0,0.0,False,0.0,
2021-03-07,2021,Q1,Spring/Summer,9,Outdoor Equipment,Climbing,240000.0,2000,1400,120.0,105600.0,0.44,0.0,0.0,False,0.0,
2021-03-07,2021,Q1,Spring/Summer,9,Outdoor Equipment,Water Sports,2250000.0,5000,3500,450.0,900000.0,0.4,0.0,0.0,False,0.0,
2021-03-07,2021,Q1,Spring/Summer,9,Outdoor Equipment,Snow Sports,160000.0,400,280,400.0,64000.0,0.4,0.0,0.0,False,0.0,
2021-03-07,2021,Q1,Spring/Summer,9,Apparel & Footwear,Mens Apparel,170000.0,2000,1400,85.0,85000.0,0.5,0.0,0.0,False,0.0,
2021-03-07,2021,Q1,Spring/Summer,9,Apparel & Footwear,Womens Apparel,170000.0,2000,1400,85.0,88400.0,0.52,0.0,0.0,False,0.0,
2021-03-07,2021,Q1,Spring/Summer,9,Apparel & Footwear,Footwear,280000.0,2000,1400,140.0,134400.0,0.48,0.0,0.0,False,0.0,
2021-03-07,2021,Q1,Spring/Summer,9,Apparel & Footwear,Accessories,90000.0,2000,1400,45.0,49500.0,0.55,0.0,0.0,False,0.0,
2021-03-14,2021,Q1,Spring/Summer,10,Outdoor Equipment,Camping & Hiking,1350000.0,7500,5250,180.0,567000.0,0.42,0.0,0.0,False,0.0,
2021-03-14,2021,Q1,Spring/Summer,10,Outdoor Equipment,Cycling,700000.0,2000,1400,350.0,266000.0,0.38,0.0,0.0,False,0.0,
2021-03-14,2021,Q1,Spring/Summer,10,Outdoor Equipment,Climbing,240000.0,2000,1400,120.0,105600.0,0.44,0.0,0.0,False,0.0,
2021-03-14,2021,Q1,Spring/Summer,10,Outdoor Equipment,Water Sports,2250000.0,5000,3500,450.0,900000.0,0.4,0.0,0.0,False,0.0,
2021-03-14,2021,Q1,Spring/Summer,10,Outdoor Equipment,Snow Sports,160000.0,400,280,400.0,64000.0,0.4,0.0,0.0,False,0.0,
2021-03-14,2021,Q1,Spring/Summer,10,Apparel & Footwear,Mens Apparel,170000.0,2000,1400,85.0,85000.0,0.5,0.0,0.0,False,0.0,
2021-03-14,2021,Q1,Spring/Summer,10,Apparel & Footwear,Womens Apparel,170000.0,2000,1400,85.0,88400.0,0.52,0.0,0.0,False,0.0,
2021-03-14,2021,Q1,Spring/Summer,10,Apparel & Footwear,Footwear,280000.0,2000,1400,140.0,134400.0,0.48,0.0,0.0,False,0.0,
2021-03-14,2021,Q1,Spring/Summer,10,Apparel & Footwear,Accessories,90000.0,2000,1400,45.0,49500.0,0.55,0.0,0.0,False,0.0,
2021-03-21,2021,Q1,Spring/Summer,11,Outdoor Equipment,Camping & Hiking,1350000.0,7500,5250,180.0,567000.0,0.42,0.0,0.0,False,0.0,
2021-03-21,2021,Q1,Spring/Summer,11,Outdoor Equipment,Cycling,700000.0,2000,1400,350.0,266000.0,0.38,0.0,0.0,False,0.0,
2021-03-21,2021,Q1,Spring/Summer,11,Outdoor Equipment,Climbing,240000.0,2000,1400,120.0,105600.0,0.44,0.0,0.0,False,0.0,
2021-03-21,2021,Q1,Spring/Summer,11,Outdoor Equipment,Water Sports,2250000.0,5000,3500,450.0,900000.0,0.4,0.0,0.0,False,0.0,
2021-03-21,2021,Q1,Spring/Summer,11,Outdoor Equipment,Snow Sports,160000.0,400,280,400.0,64000.0,0.4,0.0,0.0,False,0.0,
2021-03-21,2021,Q1,Spring/Summer,11,Apparel & Footwear,Mens Apparel,170000.0,2000,1400,85.0,85000.0,0.5,0.0,0.0,False,0.0,
2021-03-21,2021,Q1,Spring/Summer,11,Apparel & Footwear,Womens Apparel,170000.0,2000,1400,85.0,88400.0,0.52,0.0,0.0,False,0.0,
2021-03-21,2021,Q1,Spring/Summer,11,Apparel & Footwear,Footwear,280000.0,2000,1400,140.0,134400.0,0.48,0.0,0.0,False,0.0,
2021-03-21,2021,Q1,Spring/Summer,11,Apparel & Footwear,Accessories,90000.0,2000,1400,45.0,49500.0,0.55,0.0,0.0,False,0.0,
2021-03-28,2021,Q1,Spring/Summer,12,Outdoor Equipment,Camping & Hiking,1350000.0,7500,5250,180.0,567000.0,0.42,0.0,0.0,False,0.0,
2021-03-28,2021,Q1,Spring/Summer,12,Outdoor Equipment,Cycling,700000.0,2000,1400,350.0,266000.0,0.38,0.0,0.0,False,0.0,
2021-03-28,2021,Q1,Spring/Summer,12,Outdoor Equipment,Climbing,240000.0,2000,1400,120.0,105600.0,0.44,0.0,0.0,False,0.0,
2021-03-28,2021,Q1,Spring/Summer,12,Outdoor Equipment,Water Sports,2250000.0,5000,3500,450.0,900000.0,0.4,0.0,0.0,False,0.0,
2021-03-28,2021,Q1,Spring/Summer,12,Outdoor Equipment,Snow Sports,160000.0,400,280,400.0,64000.0,0.4,0.0,0.0,False,0.0,
2021-03-28,2021,Q1,Spring/Summer,12,Apparel & Footwear,Mens Apparel,170000.0,2000,1400,85.0,85000.0,0.5,0.0,0.0,False,0.0,
2021-03-28,2021,Q1,Spring/Summer,12,Apparel & Footwear,Womens Apparel,170000.0,2000,1400,85.0,88400.0,0.52,0.0,0.0,False,0.0,
2021-03-28,2021,Q1,Spring/Summer,12,Apparel & Footwear,Footwear,280000.0,2000,1400,140.0,134400.0,0.48,0.0,0.0,False,0.0,
2021-03-28,2021,Q1,Spring/Summer,12,Apparel & Footwear,Accessories,90000.0,2000,1400,45.0,49500.0,0.55,0.0,0.0,False,0.0,
2021-04-04,2021,Q2,Spring/Summer,13,Outdoor Equipment,Camping & Hiking,1350000.0,7500,5250,180.0,567000.0,0.42,0.0,0.0,False,0.0,
2021-04-04,2021,Q2,Spring/Summer,13,Outdoor Equipment,Cycling,700000.0,2000,1400,350.0,266000.0,0.38,0.0,0.0,False,0.0,
2021-04-04,2021,Q2,Spring/Summer,13,Outdoor Equipment,Climbing,240000.0,2000,1400,120.0,105600.0,0.44,0.0,0.0,False,0.0,
2021-04-04,2021,Q2,Spring/Summer,13,Outdoor Equipment,Water Sports,2250000.0,5000,3500,450.0,900000.0,0.4,0.0,0.0,False,0.0,
2021-04-04,2021,Q2,Spring/Summer,13,Outdoor Equipment,Snow Sports,160000.0,400,280,400.0,64000.0,0.4,0.0,0.0,False,0.0,
2021-04-04,2021,Q2,Spring/Summer,13,Apparel & Footwear,Mens Apparel,170000.0,2000,1400,85.0,85000.0,0.5,0.0,0.0,False,0.0,
2021-04-04,2021,Q2,Spring/Summer,13,Apparel & Footwear,Womens Apparel,170000.0,2000,1400,85.0,88400.0,0.52,0.0,0.0,False,0.0,
2021-04-04,2021,Q2,Spring/Summer,13,Apparel & Footwear,Footwear,280000.0,2000,1400,140.0,134400.0,0.48,0.0,0.0,False,0.0,
2021-04-04,2021,Q2,Spring/Summer,13,Apparel & Footwear,Accessories,90000.0,2000,1400,45.0,49500.0,0.55,0.0,0.0,False,0.0,
2021-04-11,2021,Q2,Spring/Summer,14,Outdoor Equipment,Camping & Hiking,1350000.0,7500,5250,180.0,567000.0,0.42,0.0,0.0,False,0.0,
2021-04-11,2021,Q2,Spring/Summer,14,Outdoor Equipment,Cycling,700000.0,2000,1400,350.0,266000.0,0.38,0.0,0.0,False,0.0,
2021-04-11,2021,Q2,Spring/Summer,14,Outdoor Equipment,Climbing,240000.0,2000,1400,120.0,105600.0,0.44,0.0,0.0,False,0.0,
2021-04-11,2021,Q2,Spring/Summer,14,Outdoor Equipment,Water Sports,2250000.0,5000,3500,450.0,900000.0,0.4,0.0,0.0,False,0.0,
2021-04-11,2021,Q2,Spring/Summer,14,Outdoor Equipment,Snow Sports,160000.0,400,280,400.0,64000.0,0.4,0.0,0.0,False,0.0,
2021-04-11,2021,Q2,Spring/Summer,14,Apparel & Footwear,Mens Apparel,170000.0,2000,1400,85.0,85000.0,0.5,0.0,0.0,False,0.0,
2021-04-11,2021,Q2,Spring/Summer,14,Apparel & Footwear,Womens Apparel,170000.0,2000,1400,85.0,88400.0,0.52,0.0,0.0,False,0.0,
2021-04-11,2021,Q2,Spring/Summer,14,Apparel & Footwear,Footwear,280000.0,2000,1400,140.0,134400.0,0.48,0.0,0.0,False,0.0,
2021-04-11,2021,Q2,Spring/Summer,14,Apparel & Footwear,Accessories,90000.0,2000,1400,45.0,49500.0,0.55,0.0,0.0,False,0.0,
2021-04-18,2021,Q2,Spring/Summer,15,Outdoor Equipment,Camping & Hiking,1350000.0,7500,5250,180.0,567000.0,0.42,0.0,0.0,False,0.0,
2021-04-18,2021,Q2,Spring/Summer,15,Outdoor Equipment,Cycling,700000.0,2000,1400,350.0,266000.0,0.38,0.0,0.0,False,0.0,
2021-04-18,2021,Q2,Spring/Summer,15,Outdoor Equipment,Climbing,240000.0,2000,1400,120.0,105600.0,0.44,0.0,0.0,False,0.0,
2021-04-18,2021,Q2,Spring/Summer,15,Outdoor Equipment,Water Sports,2250000.0,5000,3500,450.0,900000.0,0.4,0.0,0.0,False,0.0,
2021-04-18,2021,Q2,Spring/Summer,15,Outdoor Equipment,Snow Sports,160000.0,400,280,400.0,64000.0,0.4,0.0,0.0,False,0.0,
2021-04-18,2021,Q2,Spring/Summer,15,Apparel & Footwear,Mens Apparel,170000.0,2000,1400,85.0,85000.0,0.5,0.0,0.0,False,0.0,
2021-04-18,2021,Q2,Spring/Summer,15,Apparel & Footwear,Womens Apparel,170000.0,2000,1400,85.0,88400.0,0.52,0.0,0.0,False,0.0,
2021-04-18,2021,Q2,Spring/Summer,15,Apparel & Footwear,Footwear,280000.0,2000,1400,140.0,134400.0,0.48,0.0,0.0,False,0.0,
2021-04-18,2021,Q2,Spring/Summer,15,Apparel & Footwear,Accessories,90000.0,2000,1400,45.0,49500.0,0.55,0.0,0.0,False,0.0,
2021-04-25,2021,Q2,Spring/Summer,16,Outdoor Equipment,Camping & Hiking,1350000.0,7500,5250,180.0,567000.0,0.42,0.0,0.0,False,0.0,
2021-04-25,2021,Q2,Spring/Summer,16,Outdoor Equipment,Cycling,700000.0,2000,1400,350.0,266000.0,0.38,0.0,0.0,False,0.0,
2021-04-25,2021,Q2,Spring/Summer,16,Outdoor Equipment,Climbing,240000.0,2000,1400,120.0,105600.0,0.44,0.0,0.0,False,0.0,
2021-04-25,2021,Q2,Spring/Summer,16,Outdoor Equipment,Water Sports,2250000.0,5000,3500,450.0,900000.0,0.4,0.0,0.0,False,0.0,
2021-04-25,2021,Q2,Spring/Summer,16,Outdoor Equipment,Snow Sports,160000.0,400,280,400.0,64000.0,0.4,0.0,0.0,False,0.0,
2021-04-25,2021,Q2,Spring/Summer,16,Apparel & Footwear,Mens Apparel,170000.0,2000,1400,85.0,85000.0,0.5,0.0,0.0,False,0.0,
2021-04-25,2021,Q2,Spring/Summer,16,Apparel & Footwear,Womens Apparel,170000.0,2000,1400,85.0,88400.0,0.52,0.0,0.0,False,0.0,
2021-04-25,2021,Q2,Spring/Summer,16,Apparel & Footwear,Footwear,280000.0,2000,1400,140.0,134400.0,0.48,0.0,0.0,False,0.0,
2021-04-25,2021,Q2,Spring/Summer,16,Apparel & Footwear,Accessories,90000.0,2000,1400,45.0,49500.0,0.55,0.0,0.0,False,0.0,
2021-05-02,2021,Q2,Spring/Summer,17,Outdoor Equipment,Camping & Hiking,1350000.0,7500,5250,180.0,567000.0,0.42,0.0,0.0,False,0.0,
2021-05-02,2021,Q2,Spring/Summer,17,Outdoor Equipment,Cycling,700000.0,2000,1400,350.0,266000.0,0.38,0.0,0.0,False,0.0,
2021-05-02,2021,Q2,Spring/Summer,17,Outdoor Equipment,Climbing,240000.0,2000,1400,120.0,105600.0,0.44,0.0,0.0,False,0.0,
2021-05-02,2021,Q2,Spring/Summer,17,Outdoor Equipment,Water Sports,2250000.0,5000,3500,450.0,900000.0,0.4,0.0,0.0,False,0.0,
2021-05-02,2021,Q2,Spring/Summer,17,Outdoor Equipment,Snow Sports,160000.0,400,280,400.0,64000.0,0.4,0.0,0.0,False,0.0,
2021-05-02,2021,Q2,Spring/Summer,17,Apparel & Footwear,Mens Apparel,170000.0,2000,1400,85.0,85000.0,0.5,0.0,0.0,False,0.0,
2021-05-02,2021,Q2,Spring/Summer,17,Apparel & Footwear,Womens Apparel,170000.0,2000,1400,85.0,88400.0,0.52,0.0,0.0,False,0.0,
2021-05-02,2021,Q2,Spring/Summer,17,Apparel & Footwear,Footwear,280000.0,2000,1400,140.0,134400.0,0.48,0.0,0.0,False,0.0,
2021-05-02,2021,Q2,Spring/Summer,17,Apparel & Footwear,Accessories,90000.0,2000,1400,45.0,49500.0,0.55,0.0,0.0,False,0.0,
2021-05-09,2021,Q2,Spring/Summer,18,Outdoor Equipment,Camping & Hiking,1350000.0,7500,5250,180.0,567000.0,0.42,0.0,0.0,False,0.0,
2021-05-09,2021,Q2,Spring/Summer,18,Outdoor Equipment,Cycling,700000.0,2000,1400,350.0,266000.0,0.38,0.0,0.0,False,0.0,
2021-05-09,2021,Q2,Spring/Summer,18,Outdoor Equipment,Climbing,240000.0,2000,1400,120.0,105600.0,0.44,0.0,0.0,False,0.0,
2021-05-09,2021,Q2,Spring/Summer,18,Outdoor Equipment,Water Sports,2250000.0,5000,3500,450.0,900000.0,0.4,0.0,0.0,False,0.0,
2021-05-09,2021,Q2,Spring/Summer,18,Outdoor Equipment,Snow Sports,160000.0,400,280,400.0,64000.0,0.4,0.0,0.0,False,0.0,
2021-05-09,2021,Q2,Spring/Summer,18,Apparel & Footwear,Mens Apparel,170000.0,2000,1400,85.0,85000.0,0.5,0.0,0.0,False,0.0,
