Store_id,store_grade,region,climate_zone,format,square_footage,open_date
S0172,D,Midwest,Temperate,Suburban,31027,2015-01-01
S0173,D,Mountain,Cold,Resort,24394,2015-01-01
S0174,D,Southeast,Warm,Suburban,16195,2015-01-01
S0175,D,Southeast,Warm,Suburban,28615,2015-01-01
S0176,D,Southeast,Warm,Resort,18653,2015-01-01
S0177,D,Northeast,Cold,Resort,31750,2015-01-01
S0178,D,Northeast,Cold,Urban,32474,2015-01-01
S0179,D,West,Temperate,Resort,12474,2015-01-01
S0180,D,Mountain,Cold,Urban,29247,2015-01-01
S0181,D,Southeast,Warm,Suburban,34821,2015-01-01
S0182,D,Northeast,Cold,Suburban,25755,2015-01-01
S0183,D,Mountain,Cold,Resort,20039,2015-01-01
